Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
anarchist,AN-er-kist,n.,person who seeks to overturn established government,Katya maintained she only wished to make changes.,"revolutionary, insurgent","loyalist, conformist","Greek anarchos, 'without a ruler'"
anarchy,AN-er-kee,n.,absence of governing body; disorder,The assassination led to a period of anarchy.,"chaos, lawlessness","order, government","Greek anarchia, 'lack of a leader'"
anathema,uh-NATH-uh-muh,n.,solemn curse; something regarded as a curse,"To the Ayatollah, America was anathema.","curse, abomination","blessing, favorite","Greek anathema, 'a thing devoted to evil'"
ancestry,AN-ses-tree,n.,family descent,David can trace his ancestry to the seventeenth century.,"lineage, heritage",-,"Latin antecessor, 'predecessor'"
anchor,ANG-ker,v.,secure or fasten firmly,We set the post in concrete to anchor it in place.,"secure, fix","loosen, free","Greek ankyra, 'anchor'"
ancillary,AN-suh-lair-ee,adj.,serving as an aid or accessory; auxiliary,In an ancillary capacity Doctor Watson was helpful.,"auxiliary, supplementary","primary, essential","Latin ancilla, 'maidservant'"
anecdote,AN-ik-doht,n.,short account of an amusing event,President Reagan told anecdotes about poor people.,"story, tale",-,"Greek anekdota, 'unpublished items'"
anemia,uh-NEE-mee-uh,n.,condition in which blood lacks red corpuscles,The doctor ascribes her tiredness to anemia.,blood deficiency,-,"Greek an- + haima, 'blood'"
anesthetic,an-uhs-THET-ik,n.,substance that removes sensation,His monotonous voice acted like an anesthetic.,numbing agent,-,"Greek an- + aisthesis, 'sensation'"
anguish,ANG-gwish,n.,acute pain; extreme suffering,The president wept to see the anguish of the victims.,"agony, torment","comfort, relief","Latin angustia, 'tightness'"
angular,ANG-gyuh-ler,adj.,sharp-cornered; stiff in manner,"Mr. Spock's features, though angular, were attractive.","bony, sharp-edged","round, smooth","Latin angulus, 'corner'"
animadversion,an-uh-mad-VUR-zhuhn,n.,critical remark,He resented the animadversions of his critics.,"criticism, censure","praise, compliment","Latin animadvertere, 'to take notice of'"
animated,AN-uh-may-tid,adj.,lively; spirited,Jim Carrey's facial expressions are highly animated.,"lively, vivacious","listless, dull","Latin animare, 'to give life to'"
animosity,an-uh-MOS-ih-tee,n.,active enmity,He incurred the animosity of the ruling class.,"hostility, antagonism","goodwill, friendliness","Latin animositas, 'boldness'"
animus,AN-uh-muhs,n.,hostile feeling or intent,The animus of the speaker became obvious.,"hostility, animosity","goodwill, benevolence","Latin animus, 'mind, spirit'"
annals,AN-uhlz,n.,records; history,"In the annals of this period, we find no mention of movements.","records, chronicles",-,"Latin annales, 'yearly records'"
anneal,uh-NEEL,v.,reduce brittleness and improve toughness by heating and cooling,"After the glass is annealed, it resists chipping.","toughen, temper","weaken, embrittle","Old English anælan, 'to burn'"
annex,uh-NEKS,v.,attach; take possession of,Mexico objected to attempts to annex the territory.,"appropriate, incorporate","relinquish, cede","Latin annectere, 'to bind to'"
annihilate,uh-NY-uh-layt,v.,destroy,The enemy tried to annihilate the entire population.,"obliterate, destroy","create, build","Latin annihilare, 'to reduce to nothing'"
annotate,AN-uh-tayt,v.,comment; make explanatory notes,The critic sought to annotate esoteric references.,"explain, gloss",-,"Latin annotare, 'to mark'"
annuity,uh-NOO-ih-tee,n.,yearly allowance,The annuity supplements her social security benefits.,"pension, allowance",-,"Latin annus, 'year'"
annul,uh-NUL,v.,make void,The parents tried to annul the marriage.,"cancel, invalidate","validate, ratify","Latin annullare, 'to reduce to nothing'"
anodyne,AN-uh-dyn,n.,drug that relieves pain; opiate,His pain was so great that no anodyne could relieve it.,"painkiller, sedative",irritant,"Greek anodynos, 'free from pain'"
anoint,uh-NOYNT,v.,consecrate,The prophet Samuel anointed David as king.,"consecrate, ordain",-,"Latin inunguere, 'to smear on'"
anomalous,uh-NOM-uh-luhs,adj.,abnormal; irregular,She was placed in the anomalous position of approving procedures she despised.,"irregular, abnormal","normal, typical","Greek anomalos, 'uneven'"
anomaly,uh-NOM-uh-lee,n.,irregularity,A bird that cannot fly is an anomaly.,"irregularity, oddity","norm, regularity","Greek anomalia, 'unevenness'"
anonymity,an-uh-NIM-ih-tee,n.,state of being nameless,The donor asked the college to respect her anonymity.,namelessness,identification,"Greek anonymos, 'nameless'"
antagonism,an-TAG-uh-niz-uhm,n.,hostility; active resistance,Barry showed his antagonism by ignoring his stepmother.,"hostility, opposition","friendship, cooperation","Greek antagonisma, 'struggle'"
antecede,an-tih-SEED,v.,precede,The invention of the radiotelegraph anteceded television.,"precede, predate","follow, succeed","Latin ante + cedere, 'to go before'"
antecedents,an-tih-SEE-duhnts,n.,preceding events; ancestors,She knew nothing of her birth and antecedents.,"ancestors, forerunners",descendants,"Latin antecedere, 'to go before'"
antediluvian,an-tih-dih-LOO-vee-uhn,adj.,antiquated; extremely ancient,"The young heir exclaimed, 'How positively antediluvian!'","ancient, archaic","modern, current","Latin ante + diluvium, 'before the flood'"
anthem,AN-thuhm,n.,song of praise or patriotism,Let us join in singing the national anthem.,"hymn, song of praise",-,"Greek antiphona, 'antiphon'"
anthology,an-THOL-uh-jee,n.,book of literary selections by various authors,This anthology of science fiction was compiled by Isaac Asimov.,"compilation, collection",-,"Greek anthologia, 'flower-gathering'"
anthropoid,AN-thruh-poyd,adj.,manlike,The gorilla is the strongest anthropoid animal.,humanlike,-,"Greek anthropos, 'human' + -oid"
anthropologist,an-thruh-POL-uh-jist,n.,student of the history and science of humankind,Anthropologists discovered relics of prehistoric humans.,-,-,"Greek anthropos + logos, 'study'"
anthropomorphic,an-thruh-puh-MOR-fik,adj.,having human form or characteristics,Primitive religions often have anthropomorphic deities.,humanlike,-,"Greek anthropos + morphe, 'form'"
anticlimax,an-tih-KLY-maks,n.,letdown in thought or emotion,"After the fine performance, the rest of the play was an anticlimax.","letdown, disappointment","climax, culmination","Greek anti- + klimax, 'ladder'"
antidote,AN-tih-doht,n.,remedy to counteract a poison or disease,The poison control hotline instructed how to administer the antidote.,"remedy, counteragent","poison, toxin","Greek antidoton, 'given against'"
antipathy,an-TIP-uh-thee,n.,aversion; dislike,Tom's extreme antipathy keeps him from disputes.,"aversion, dislike","affinity, fondness","Greek anti- + pathos, 'feeling'"
antiquated,AN-tih-kway-tid,adj.,obsolete; outdated,Philip thought typewriters were too antiquated for him to use.,"outdated, obsolete","modern, current","Latin antiquus, 'old'"
antiseptic,an-tuh-SEP-tik,n.,substance that prevents infection,It is advisable to apply an antiseptic to any wound.,disinfectant,-,"Greek anti- + septikos, 'putrefactive'"
antithesis,an-TITH-uh-sis,n.,contrast; direct opposite,This tyranny was the antithesis of all that he had hoped for.,"opposite, reverse","similarity, equivalent","Greek antithesis, 'opposition'"
anvil,AN-vil,n.,iron block used in hammering out metals,The blacksmith set the horseshoe on the anvil.,-,-,Old English anfilte
apathy,AP-uh-thee,n.,lack of caring; indifference,She could not understand the apathy of people who never vote.,"indifference, unconcern","enthusiasm, passion","Greek apatheia, 'freedom from feeling'"
ape,ayp,v.,imitate or mimic,"In the comedy, the hero apes his servant.","imitate, mimic",-,"Old English apa, 'ape'"
aperture,AP-er-cher,n.,opening; hole,She discovered a small aperture in the wall.,"opening, gap",-,"Latin apertura, 'opening'"
apex,AY-peks,n.,tip; summit; climax,"At the apex of his career, the star received offers of leading roles.","summit, peak","base, nadir","Latin apex, 'tip'"
aphasia,uh-FAY-zhuh,n.,loss of speech due to injury or illness,The victim had periods of aphasia after the accident.,speech loss,-,"Greek a- + phasis, 'speech'"
aphorism,AF-uh-riz-uhm,n.,pithy maxim or saying,Absolute power corrupts absolutely' is an aphorism.,"maxim, adage",-,"Greek aphorismos, 'definition'"
apiary,AY-pee-air-ee,n.,a place where bees are kept,"Although he spent many hours in the apiary, he was seldom stung.",beehive enclosure,-,"Latin apis, 'bee'"
apocalyptic,uh-pok-uh-LIP-tik,adj.,prophetic; pertaining to revelations,The street preacher's apocalyptic predictions foretold doom.,"prophetic, doomsday",-,"Greek apokalypsis, 'revelation'"
apocryphal,uh-POK-ruh-fuhl,adj.,untrue; made up,Tom invented apocryphal tales of his adventures.,"fictitious, fabricated","authentic, genuine","Greek apokryphos, 'hidden'"
apogee,AP-uh-jee,n.,highest point,"When the moon is furthest from earth, it is at its apogee.","peak, zenith","perigee, nadir","Greek apo + ge, 'away from earth'"
apolitical,ay-puh-LIT-ih-kuhl,adj.,having an aversion or lack of concern for political affairs,It was hard to remain apolitical during the Vietnam War.,"neutral, indifferent to politics","political, partisan",a- + political
apologist,uh-POL-uh-jist,n.,one who writes in defense of a cause,The young diplomat decided to defect rather than act as an apologist.,"defender, advocate","critic, detractor","Greek apologia, 'defense'"
apostate,uh-POS-tayt,n.,one who abandons religious faith or political beliefs,His former friends shunned him as an apostate.,"defector, renegade","loyalist, believer","Greek apostasis, 'standing apart'"
apothecary,uh-POTH-uh-kair-ee,n.,druggist,"In Holland, apothecaries still sell spices as well as medicines.","pharmacist, druggist",-,"Greek apotheke, 'storehouse'"
apothegm,AP-uh-them,n.,"pithy, compact saying",Proverbs are apothegms that have become familiar sayings.,"maxim, saying",-,"Greek apophthegma, 'terse remark'"
apotheosis,uh-poth-ee-OH-sis,n.,elevation to godhood; ideal example,Alex Keaton was the apotheosis of yuppiedom.,"deification, ideal",-,"Greek apotheoun, 'to deify'"
appall,uh-PAWL,v.,dismay; shock,We were appalled by the horrifying conditions in the jails.,"horrify, dismay","please, delight","Old French apalir, 'to grow pale'"
apparition,ap-uh-RISH-uhn,n.,ghost; phantom,An apparition materialized and spoke to Hamlet.,"ghost, specter",-,"Latin apparere, 'to appear'"
appease,uh-PEEZ,v.,pacify or soothe; relieve,Tom and Jody tried to appease the crying baby.,"placate, mollify","provoke, agitate","Old French apaisier, 'to make peace'"
appellation,ap-uh-LAY-shuhn,n.,name; title,Macbeth was startled by an incorrect appellation.,"name, designation",-,"Latin appellare, 'to call'"
append,uh-PEND,v.,attach,"When you append a bibliography, you create an appendix.","attach, add","detach, remove","Latin appendere, 'to hang upon'"
application,ap-li-KAY-shuhn,n.,diligent attention,Tom praised Aunt Polly for his application.,"diligence, effort","negligence, idleness","Latin applicare, 'to apply'"
apposite,AP-uh-zit,adj.,appropriate; fitting,She found the apposite phrase for every occasion.,"fitting, relevant","irrelevant, inappropriate","Latin apponere, 'to put near'"
appraise,uh-PRAYZ,v.,estimate value of,It is difficult to appraise old paintings.,"evaluate, assess",-,"Old French apreisier, 'to set a price'"
appreciate,uh-PREE-shee-ayt,v.,be thankful for; increase in worth,The stocks Daddy gave her appreciated considerably.,"value, esteem; increase","depreciate, undervalue","Latin appretiare, 'to value'"
apprehend,ap-rih-HEND,v.,arrest; dread; perceive,The police will apprehend the culprit.,"arrest, capture","release, free","Latin apprehendere, 'to seize'"
apprehensive,ap-rih-HEN-siv,adj.,fearful; discerning,His apprehensive glances revealed his nervousness.,"anxious, worried","confident, calm","Latin apprehendere, 'to seize'"
apprise,uh-PRYZ,v.,inform,"When she was apprised of the weather, she postponed her trip.","notify, inform","conceal, withhold","French apprendre, 'to learn'"
approbation,ap-ruh-BAY-shuhn,n.,approval,She looked for some sign of her parents' approbation.,"approval, endorsement","disapproval, censure","Latin approbare, 'to approve'"
appropriate,uh-PROH-pree-ayt,v.,acquire; take possession of for one's own use,The ranch owners appropriated the lands set aside for the Indians.,"seize, commandeer","relinquish, return","Latin appropriare, 'to make one's own'"
appurtenances,uh-PUR-tn-uhn-siz,n.,subordinate possessions,He bought the estate and all its appurtenances.,"accessories, adjuncts",-,"Latin appertinere, 'to belong to'"
apropos,ap-ruh-POH,prep./adj./adv.,with reference to; regarding,I find your remarks apropos of the present situation timely.,"regarding, pertinent",irrelevant,"French à propos, 'to the purpose'"
aptitude,AP-tih-tood,n.,fitness; talent,The counselor evaluated his aptitude before advising him.,"talent, knack","ineptitude, incompetence","Latin aptus, 'fit'"
aquiline,AK-wuh-lyn,adj.,"curved, hooked","He can be recognized by his aquiline nose, curved like an eagle's beak.","hooked, beaklike",-,"Latin aquila, 'eagle'"
arable,AIR-uh-buhl,adj.,fit for growing crops,The settlers praised the New World's vast acres of arable land.,"cultivable, fertile","barren, infertile","Latin arare, 'to plow'"
arbiter,AR-bih-ter,n.,person with power to decide a matter in dispute; judge,"As an arbiter in labor disputes, she has won confidence of both sides.","judge, referee",-,"Latin arbiter, 'judge'"
arbitrary,AR-bih-trair-ee,adj.,unreasonable or capricious; tyrannical,The coach claimed the team lost because of arbitrary calls.,"capricious, random","reasoned, justified","Latin arbitrarius, 'depending on will'"
arbitrate,AR-bih-trayt,v.,act as judge,She was called upon to arbitrate the dispute.,"mediate, adjudicate",-,"Latin arbitrari, 'to judge'"
arboretum,ar-buh-REE-tuhm,n.,place where trees and shrubs are studied and exhibited,"Walking the treelined paths of the arboretum, Rita noted poplars.",tree garden,-,"Latin arbor, 'tree'"
arcade,ar-KAYD,n.,"a covered passageway, usually lined with shops",The arcade was popular with shoppers for its protection from the sun.,"gallery, passage",-,"Latin arcus, 'arch'"
arcane,ar-KAYN,adj.,secret; mysterious; known only to the initiated,Secret brotherhoods surround themselves with arcane rituals.,"mysterious, esoteric","clear, well-known","Latin arcanus, 'secret'"
archaeology,ar-kee-OL-uh-jee,n.,study of artifacts and relics of early mankind,The professor headed an expedition to the Gobi Desert.,-,-,"Greek archaios + logos, 'study'"
archaic,ar-KAY-ik,adj.,antiquated,"Methinks,' 'thee,' and 'thou' are archaic words.","old-fashioned, antiquated","modern, current","Greek archaios, 'ancient'"
archetype,AR-kih-typ,n.,prototype; primitive pattern,The Brooklyn Bridge was the archetype of many spans.,"model, prototype",-,"Greek archetypon, 'original pattern'"
archipelago,ar-kuh-PEL-uh-goh,n.,group of closely located islands,He looked at the map and saw the archipelagoes of the South Seas.,island chain,-,"Italian arcipelago, 'chief sea'"
archives,AR-kyvz,n.,public records; place where public records are kept,These documents should be part of the archives.,"records, chronicles",-,"Greek archeion, 'public office'"
ardor,AR-der,n.,heat; passion; zeal,Katya's ardor was contagious; demonstrators were inspired by her ardent enthusiasm.,"passion, fervor","apathy, indifference","Latin ardor, 'a burning'"
arduous,AR-joo-uhs,adj.,hard; strenuous,Her arduous efforts had sapped her energy.,"strenuous, laborious","easy, effortless","Latin arduus, 'steep'"
argot,AR-goh,n.,slang,"In the argot of the underworld, she 'was taken for a ride.'","jargon, slang",-,"French argot, 'thieves' jargon'"
aria,AH-ree-uh,n.,operatic solo,Marian Anderson sang an aria from Norma.,solo song,-,"Italian aria, 'air'"
arid,AIR-id,adj.,dry; barren,The cactus has adapted to survive in an arid environment.,"dry, parched","lush, fertile","Latin aridus, 'dry'"
aristocracy,air-uh-STOK-ruh-see,n.,hereditary nobility; privileged class,Americans have mixed feelings about hereditary aristocracy.,"nobility, elite","commoners, proletariat","Greek aristos + kratos, 'rule of the best'"
armada,ar-MAH-duh,n.,fleet of warships,Queen Elizabeth's navy defeated the mighty armada.,fleet,-,"Spanish armada, 'armed force'"
aromatic,air-uh-MAT-ik,adj.,fragrant,Medieval vessels brought aromatic herbs from China.,"fragrant, scented","odorless, foul-smelling","Greek aroma, 'spice'"
arraign,uh-RAYN,v.,charge in court; indict,"After his indictment, the accused man was arraigned.","indict, charge","acquit, exonerate","Old French araisnier, 'to address'"
array,uh-RAY,v.,marshal; draw up in order,His actions were bound to array public sentiment against him.,"arrange, marshal","disperse, disorder","Old French areer, 'to put in order'"
array,uh-RAY,v./n.,clothe; adorn,She liked to array herself in her finest clothes.,"adorn, attire","strip, undress","Old French areer, 'to put in order'"
arrears,uh-REERZ,n.,being in debt,He was in arrears with his payments on the car.,"debt, overdue payment",-,"Latin ad retro, 'behind'"
arrhythmic,ay-RITH-mik,adj.,lacking rhythm or regularity,The doctors feared his arrhythmic heartbeat might be a symptom of a heart attack.,irregular,"rhythmic, regular",a- + rhythmic
arrogance,AIR-uh-guhns,n.,pride; haughtiness,"Convinced that Emma thought she was better than anyone, Ed rebuked her arrogance.","haughtiness, conceit","humility, modesty","Latin arrogare, 'to claim for oneself'"
arroyo,uh-ROY-oh,n.,gully,"Until the heavy rains, this arroyo had been a dry bed.","gully, ravine",-,"Spanish arroyo, 'stream'"
arsenal,AR-suh-nuhl,n.,storage place for military equipment,People are forbidden to smoke in the arsenal.,"armory, depot",-,"Arabic dar as-sina'a, 'house of manufacture'"
articulate,ar-TIK-yuh-lit,adj.,effective; distinct,Her articulate presentation impressed her employers.,"eloquent, clear","inarticulate, mumbling","Latin articulus, 'small joint'"
artifact,AR-tih-fakt,n.,object made by human beings,Archaeologists debated the significance of the artifacts.,"relic, object",-,"Latin ars + factum, 'made by skill'"
artifice,AR-tih-fis,n.,deception; trickery,The Trojan War proved that cunning and artifice were effective.,"trickery, ruse","candor, honesty","Latin artificium, 'craftsmanship'"
artisan,AR-tih-zuhn,n.,a manually skilled worker,Artists and artisans alike are necessary to a culture.,"craftsman, skilled worker",-,"Italian artigiano, 'craftsman'"
artless,ART-lis,adj.,without guile; open and honest,Red Riding Hood's artless comment indicates her innocent surprise.,"naive, candid","cunning, artful",art + -less
ascendancy,uh-SEN-duhn-see,n.,controlling influence,President Marcos failed to maintain his ascendancy over the Philippines.,"dominance, control","subordination, decline","Latin ascendere, 'to climb up'"
ascertain,as-er-TAYN,v.,find out for certain,Please ascertain her present address.,"determine, verify",-,"Old French acertener, 'to assure'"
ascetic,uh-SET-ik,adj./n.,practicing self-denial; austere,"The wealthy young man felt drawn to the strict, ascetic life of monastic orders.","austere, self-denying","self-indulgent, hedonistic","Greek asketes, 'monk'"
ascribe,uh-SKRYB,v.,refer; attribute; assign,I can ascribe no motive for her acts.,"attribute, credit",-,"Latin ascribere, 'to write to'"
aseptic,ay-SEP-tik,adj.,preventing infection; having a cleansing effect,Hospitals introduced aseptic conditions to lower mortality.,"sterile, germ-free","septic, infected","Greek a- + septikos, 'putrefactive'"
ashen,ASH-uhn,adj.,ash-colored; deadly pale,Her face was ashen with fear.,"pale, pallid","ruddy, flushed",ash + -en
asinine,AS-uh-nyn,adj.,stupid,Your asinine remarks prove you haven't given this serious thought.,"foolish, idiotic","sensible, wise","Latin asinus, 'ass'"
askance,uh-SKANS,adv.,with a sideways or indirect look,"Looking askance at her questioner, she displayed her scorn.","suspiciously, sideways","directly, openly",origin uncertain
askew,uh-SKYOO,adv.,crookedly; slanted; at an angle,"When the clown placed his hat askew, the children laughed.","crooked, awry","straight, aligned",a- + skew
asperity,uh-SPER-ih-tee,n.,sharpness of temper,"These remarks, spoken with asperity, stung the boys.","harshness, sharpness","gentleness, mildness","Latin asperitas, 'roughness'"
aspersion,uh-SPUR-zhuhn,n.,slanderous remark,Do not cast aspersions on her character.,"slander, defamation","praise, compliment","Latin aspergere, 'to sprinkle'"
aspirant,AS-per-uhnt,n./adj.,seeker after position or status,"I am not willing to accept the dictates of the party bosses, although I am an aspirant.","candidate, contender",-,"Latin aspirare, 'to breathe toward'"
aspire,uh-SPYR,v.,seek to attain; long for,"Because he aspired to a career in sports, Philip enrolled in graduate school.","strive, aim",-,"Latin aspirare, 'to breathe toward'"
assail,uh-SAYL,v.,assault,He was assailed with questions after his lecture.,"attack, assault","defend, protect","Latin assilire, 'to leap at'"
assay,uh-SAY,v./n.,analyze; evaluate,"When they assayed the ore, they discovered a rich vein.","test, evaluate",-,"Old French assai, 'trial'"
assent,uh-SENT,v./n.,agree; accept,It gives me great pleasure to assent to your request.,"agree, consent","dissent, refuse","Latin assentire, 'to agree'"
assert,uh-SURT,v.,state strongly or positively; insist on,Jill asserted that nobody had such an early curfew.,"declare, affirm","deny, retract","Latin asserere, 'to claim'"
assessment,uh-SES-muhnt,n.,estimation; appraisal,I would like your assessment of the situation.,"evaluation, appraisal",-,"Latin assidere, 'to sit by'"
assiduous,uh-SIJ-oo-uhs,adj.,diligent,It took Rembrandt weeks of assiduous labor.,"diligent, industrious","lazy, negligent","Latin assidere, 'to sit close to'"
assimilate,uh-SIM-uh-layt,v.,absorb; cause to become homogeneous,The U.S. assimilated hordes of immigrants.,"absorb, integrate","segregate, exclude","Latin assimilare, 'to make similar'"
assuage,uh-SWAYJ,v.,ease or lessen; satisfy; soothe,Dick tried to assuage his heartache by indulging in ice cream.,"soothe, alleviate","aggravate, intensify","Latin assuavidare, 'to sweeten'"
assumption,uh-SUMP-shuhn,n.,something taken for granted; taking over,The princess made the assumption that the regent would not object.,"supposition, presumption",-,"Latin assumere, 'to take up'"
assurance,uh-SHOOR-uhns,n.,promise or pledge; certainty; self-confidence,Guthrie gave Guinness his assurance that rehearsals were going well.,"confidence, pledge","doubt, uncertainty",Old French aseurance
asteroid,AS-ter-oyd,n.,small planet,Asteroids have become commonplace to readers of science fiction.,minor planet,-,"Greek aster + -oid, 'starlike'"
astigmatism,uh-STIG-muh-tiz-uhm,n.,eye defect that prevents proper focus,"As soon as his parents discovered he suffered from astigmatism, they got him glasses.",eye focus defect,-,"Greek a- + stigma, 'point'"
astral,AS-truhl,adj.,relating to the stars,She was amazed at the number of astral bodies the telescope revealed.,"stellar, celestial",-,"Latin astrum, 'star'"
astringent,uh-STRIN-juhnt,adj./n.,binding; causing contraction; harsh or severe,The astringent quality of the lemon juice made swallowing difficult.,"harsh, severe","mild, soothing","Latin astringere, 'to bind tightly'"
astronomical,as-truh-NOM-ih-kuhl,adj.,enormously large or extensive,The government spent astronomical sums on weapons.,"huge, vast","tiny, minuscule","Greek astron, 'star'"
astute,uh-STOOT,adj.,wise; shrewd; keen,"The painter was an astute observer, noticing every detail.","shrewd, perceptive","naive, dull","Latin astutus, 'crafty'"
asunder,uh-SUN-der,adv.,into parts; apart,The two partners finally sundered their connections.,"apart, separated","together, united",Old English on sundran
asylum,uh-SY-luhm,n.,place of refuge or shelter; protection,The refugees sought asylum in a new land.,"refuge, sanctuary",-,"Greek asylon, 'refuge'"
asymmetric,ay-sih-MET-rik,adj.,not identical on both sides of a dividing line,William's face had a particularly asymmetric appearance.,"uneven, lopsided","symmetric, balanced",a- + symmetric
atavism,AT-uh-viz-uhm,n.,resemblance to remote ancestors; reversion to an earlier type; throwback,Martin seemed an atavism to his Tuscan ancestors.,"throwback, regression",-,"Latin atavus, 'ancestor'"
atheistic,ay-thee-IS-tik,adj.,denying the existence of God,His atheistic remarks shocked the worshippers.,"godless, irreligious","theistic, religious","Greek a- + theos, 'god'"
atone,uh-TOHN,v.,make amends for; pay for,He knew no way in which he could atone for his crime.,"make amends, repent",-,Middle English at one
atrocity,uh-TROS-ih-tee,n.,brutal deed,"In time of war, many atrocities are committed.","outrage, brutality","kindness, mercy","Latin atrox, 'cruel'"
atrophy,AT-ruh-fee,n./v.,wasting away,Polio victims need physiotherapy to prevent atrophy of affected limbs.,"wasting, decline","growth, development","Greek atrophia, 'lack of nourishment'"
attentive,uh-TEN-tiv,adj.,alert and watchful; considerate; thoughtful,"Spellbound, the attentive audience watched the final game.","alert, observant","inattentive, distracted","Latin attendere, 'to pay heed to'"
attenuate,uh-TEN-yoo-ayt,v.,make thin; weaken,"By withdrawing their forces, the generals hoped to attenuate the enemy lines.","weaken, dilute","strengthen, intensify","Latin attenuare, 'to make thin'"
attest,uh-TEST,v.,testify; bear witness,I can attest that our system of indicting individuals needs improvement.,"testify, certify","deny, refute","Latin attestari, 'to bear witness'"
attribute,AT-ruh-byoot,n.,essential quality,His outstanding attribute was his kindness.,"quality, trait",-,"Latin attribuere, 'to assign'"
attribute,uh-TRIB-yoot,v.,ascribe; explain,I attribute her success to the encouragement she received.,"ascribe, credit",-,"Latin attribuere, 'to assign'"
attrition,uh-TRISH-uhn,n.,gradual decrease in numbers,"Church leaders followed a policy of attrition, allowing elderly workers to retire.","wearing down, reduction","growth, increase","Latin atterere, 'to rub against'"
atypical,ay-TIP-ih-kuhl,adj.,not normal,The psychiatrist reassured Mrs. Keaton that playing doctor was not atypical.,"unusual, abnormal","typical, normal",a- + typical
audacious,aw-DAY-shuhs,adj.,daring; bold,"Luke Skywalker made his audacious, death-defying leap to freedom.","bold, daring","timid, cowardly","Latin audax, 'bold'"
audit,AW-dit,n./v.,examination of accounts,"When the bank examiners arrived to hold their annual audit, they discovered embezzlement.","examination, review",-,"Latin audire, 'to hear'"
augment,awg-MENT,v.,increase; add to,Armies augment their forces by calling up reinforcements.,"increase, enlarge","reduce, diminish","Latin augmentare, 'to increase'"
augury,AW-gyuh-ree,n.,omen; prophecy,He interpreted the departure of the birds as an augury of evil.,"omen, portent",-,"Latin augurium, 'divination'"
august,aw-GUST,adj.,impressive; majestic,"Visiting the palace at Versailles, she was impressed by the august surroundings.","majestic, grand","humble, common","Latin augustus, 'consecrated'"
aureole,AW-ree-ohl,n.,sun's corona; halo,Many medieval paintings depict saintly characters with aureoles around their heads.,"halo, glow",-,"Latin aureolus, 'golden'"
auroral,uh-ROR-uhl,adj.,pertaining to the aurora borealis,The auroral display was particularly spectacular that evening.,relating to the aurora,-,"Latin Aurora, 'dawn'"
auspicious,aw-SPISH-uhs,adj.,favoring success,"With favorable weather, it was an auspicious moment to set sail.","favorable, promising","unfavorable, inauspicious","Latin auspicium, 'a sign from birds'"
austere,aw-STEER,adj.,forbiddingly stern; severely simple and unornamented,The headmaster's austere demeanor scared off timid students.,"stern, plain","luxurious, ornate","Greek austeros, 'harsh'"
authenticate,aw-THEN-tih-kayt,v.,prove genuine,An expert was needed to authenticate the original Van Gogh.,"verify, validate","disprove, discredit","Greek authentikos, 'genuine'"
authoritarian,uh-thor-ih-TAIR-ee-uhn,adj.,subordinating the individual to the state,The leaders of the authoritarian regime ordered suppression.,"dictatorial, despotic","democratic, liberal","Latin auctor, 'originator'"
authoritative,uh-THOR-ih-tay-tiv,adj.,having the weight of authority; dictatorial,We accepted her analysis as authoritative.,"reliable, official","unreliable, dubious","Latin auctor, 'originator'"
autocratic,aw-tuh-KRAT-ik,adj.,"having absolute, unchecked power; dictatorial",A person accustomed to exercising authority may become autocratic.,"despotic, tyrannical","democratic, egalitarian","Greek autokratis, 'ruling by oneself'"
automaton,aw-TOM-uh-ton,n.,mechanism that imitates actions of humans,Writers created stories of automatons who could outperform humans.,"robot, android",-,"Greek automatos, 'self-acting'"
autonomous,aw-TON-uh-muhs,adj.,self-governing,"Cal Berkeley is autonomous, for it runs several programs without outside control.","independent, self-governing","dependent, subordinate","Greek autonomos, 'living by one's own laws'"
autopsy,AW-top-see,n.,examination of a dead body; postmortem,The medical examiner ordered an autopsy to determine cause of death.,postmortem examination,-,"Greek autopsia, 'seeing with one's own eyes'"
auxiliary,awg-ZIL-yuh-ree,adj./n.,offering or providing help; additional or subsidiary,They built an auxiliary power station for the emergency.,"supplementary, supporting","primary, main","Latin auxilium, 'help'"
avalanche,AV-uh-lanch,n.,great mass of falling snow and ice,The ranger warned skiers to stay on trails to avoid an avalanche.,"landslide, deluge",-,French avalanche
avarice,AV-er-is,n.,greediness for wealth,King Midas is a perfect example of avarice.,"greed, cupidity","generosity, altruism","Latin avaritia, 'greed'"
avenge,uh-VENJ,v.,take vengeance for something,Hamlet vowed he would avenge his father's murder.,"retaliate, revenge","forgive, pardon","Latin vindicare, 'to claim'"
aver,uh-VUR,v.,state confidently,I wish to aver that I am certain of success.,"assert, affirm","deny, refute","Latin verus, 'true'"
averse,uh-VURS,adj.,reluctant; disinclined,The reporter was averse to revealing the sources of his information.,"reluctant, opposed","willing, eager","Latin aversus, 'turned away'"
aversion,uh-VUR-zhuhn,n.,firm dislike,Their mutual aversion was so great that they refused to speak to one another.,"dislike, antipathy","fondness, affinity","Latin aversio, 'turning away'"
avert,uh-VURT,v.,prevent; turn away,She averted her eyes from the dead cat on the highway.,"prevent, deflect","cause, invite","Latin avertere, 'to turn away'"
aviary,AY-vee-air-ee,n.,enclosure for birds,The aviary at the zoo held nearly 300 birds.,"birdhouse, enclosure",-,"Latin avis, 'bird'"
